start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
1,2000,2,2002,4273,0 0,0,חתוכה זכריה,8400,רחובות,עיריית רחובות,סלילת כביש,200,7,1400,מצופה אספלט,עירונית
6,2021,6,2021,18492,,0,שד מנחם בגין,8300,ראשון לציון,עיריית ראשון לציון,שיקום כביש,404,6,2520,מצופה אספלט,עירונית
11,1998,6,2000,3575,84630 0,0,מגאר,481,מגאר,משרד הבינוי והשיכון תל אביב,הרחבת כביש,750,14,10500,מצופה אספלט,גישה
1,2009,2,2009,8244,0 0,0,"מו"" ז",856,שעלבים,,שיקום כביש,1000,5,5000,מצופה אספלט,עירונית
3,2020,6,2020,18553,,0,נווה יער,122,רמת ישי,מועצה מקומית רמת ישי,סלילת כביש,693,12,8316,מצופה אספלט,עירונית
8,2023,9,2023,22098,,0,סח'נין,7500,סח'נין,עיריית סח'נין,שיקום כביש,179,5,894,מצופה אספלט,עירונית
5,2022,5,2022,19718,,65,,6500,חדרה,דרך ארץ,שיקום כביש,770,8,6160,מצופה אספלט,אזורית
4,2017,4,2018,15597,0 0,0,דרך שדה התעופה,3000,ירושלים,מוריה ירושלים,הרחבה ושיקום,800,15,12000,מצופה אספלט,אזורית
1,2019,6,2021,18516,,0,שכונת עיר היין,7100,אשקלון,עיריית אשקלון,סלילת כביש,260,10,2600,מצופה אספלט,עירונית
1,2001,3,2001,817,0 0,0,עין גדי,5000,תל אביב -יפו,עיריית תל-אביב יפו,שיקום כביש,88,9,748,מצופה אספלט,עירונית
1,2006,1,2009,6951,11715450,0,עופרים רח' הזית,3652,בית אריה,מועצה מקומית בית אריה,הרחבת כביש,105,11,1155,מרוצף,עירונית
1,1994,1,1997,3321,17385 0,0,ראש העין,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,סלילת כביש,4300,7,27950,מצופה אספלט,עירונית
8,2011,2,2012,9448,135358011,27,בית שאן כביש 27,9200,בית שאן,עיריית בית שאן,סלילת כביש,80,12,960,מצופה אספלט,עירונית
4,2003,11,2003,5103,0 0,0,אבא הלל,7400,נתניה,עיריית נתניה,הרחבה ושיקום,330,7,2145,מצופה אספלט,עירונית
1,2000,4,2000,1549,0 0,0,גאליה,7500,סח'נין,עיריית סח'נין,הרחבה ושיקום,150,4,600,מצופה אספלט,עירונית
8,2000,1,2005,3964,272300 0,0,כביש מס' 8,9999,כביש בין ישובים,,הרחבה ושיקום,240,7,1560,מצופה אספלט,גישה
4,2017,1,2018,15673,34 16,0,כביש E14000 כניסה מזרחית למישר,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,877,7,6402,מצופה אספלט,גישה
9,1994,7,1996,3065,0 0,0,75,9999,כביש בין ישובים,,הרחבת כביש,1500,21,31500,מצופה אספלט,אזורית
8,1995,3,1996,3868,0 0,0,ירכא,9999,כביש בין ישובים,,הרחבה ושיקום,900,6,5400,מצופה אספלט,עירונית
9,2020,12,2020,18439,,0,בן גוריון,681,גבעת שמואל,עיריית גבעת שמואל,הרחבת כביש,60,14,840,מצופה אספלט,עירונית
11,1994,2,1996,1546,0 0,0,גליקסון,7400,נתניה,עיריית נתניה,הרחבה ושיקום,450,8,3600,מצופה אספלט,עירונית
2,2009,2,2009,8288,134 8,4,כביש 40,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,995,13,12935,מצופה אספלט,ראשית
9,2013,11,2013,11588,14218660,0,חריש הרחבת כבישים קיימים,1247,חריש,משרד הבינוי והשיכון תל אביב,הרחבת כביש,2588,8,20704,מצופה אספלט,עירונית
7,1996,1,1998,2603,0 0,0,המשך ירושלים,9600,קריית ים,עיריית קרית-ים,סלילת כביש,1400,14,19600,מצופה אספלט,ראשית
6,2000,6,2002,3796,0 0,0,הספורטאים צ' ים,4000,חיפה,נתיבי איילון תל אביב,הרחבת כביש,800,20,16000,מצופה אספלט,ראשית
7,2018,12,2018,16312,0 0,0,חלקי,518,מעיליא,מועצה מקומית מעליא,הרחבת כביש,230,7,1610,מצופה אספלט,עירונית
3,2018,3,2018,15882,0 0,0,הבורסקאי,7900,פתח תקווה,עיריית פתח תקווה,שיקום כביש,400,5,2000,מצופה אספלט,עירונית
6,1996,7,1997,1039,0 0,0,קהילת עקיבא,6100,בני ברק,עיריית בני - ברק,שיקום כביש,767,6,4602,מצופה אספלט,עירונית
4,2010,5,2010,8661,0 0,0,הבקעה,6600,חולון,עיריית חולון,הרחבת כביש,190,8,1520,מצופה אספלט,עירונית
7,2016,8,2016,13707,0 0,0,ערמונים,9500,קריית ביאליק,עיריית קרית ביאליק,שיקום כביש,150,7,1001,מצופה אספלט,עירונית
8,1995,9,1996,1208,0 0,0,הרב עיסיה,6500,חדרה,עיריית חדרה,סלילת כביש,450,18,8100,מצופה אספלט,גישה
1,2003,10,2003,5615,0 0,0,פיתוח שכונה פרס נובל,8300,ראשון לציון,עיריית ראשון לציון,סלילת כביש,1070,11,11802,מרוצף,עירונית
8,1994,1,1997,3342,17506 0,0,מעךה אדומים,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,סלילת כביש,2000,6,12000,מצופה אספלט,עירונית
7,1999,12,2004,3922,71325 0,0,כביש 55,9999,כביש בין ישובים,,הרחבה ושיקום,450,7,3150,מצופה אספלט,ראשית
9,2002,10,2003,5193,0 0,0,ז'בוטינסקי קטע גבורים,6500,חדרה,עיריית חדרה,הרחבה ושיקום,220,9,1980,מצופה אספלט,עירונית
11,1994,8,1996,3361,17819 0,0,ירושלים,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,סלילת כביש,3530,7,22945,מצופה אספלט,עירונית
3,2020,3,2020,17936,0 0,0,כביש 50 כיוון עולה,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,4130,12,49560,מצופה אספלט,ראשית
10,1994,1,1997,3369,17874 0,0,נצרת עילית,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,סלילת כביש,80,6,480,מצופה אספלט,עירונית
4,1997,7,1997,2621,0 0,0,הציונות,9700,,עיריית הוד השרון,סלילת כביש,280,8,2240,מרוצף,אזורית
